Model,MAE,MSE,RMSE,R2,ASE,SSE,ObservedAvg
Random Forest,35.58,5978.4,77.32,0.946,5978.4,169913246.5,1016.17
HistGradientBoosting,47.07,7344.9,85.7,0.934,7344.9,208749725.6,1016.17
XGBoost,46.47,6820.1,82.58,0.939,6820.1,193833558.3,1016.17
